iter	Passed	Remaining
0	0	96
1	1	93
2	2	89
3	3	83
4	4	83
5	5	81
6	6	81
7	6	79
8	7	79
9	8	78
10	9	80
11	11	81
12	12	80
13	12	79
14	13	77
15	14	76
16	15	75
17	16	73
18	17	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	68
24	22	67
25	23	66
26	24	65
27	25	65
28	26	65
29	27	64
30	28	63
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	39	52
43	40	51
44	41	50
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	36
61	57	35
62	58	34
63	59	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	67	23
74	68	22
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
